"","nom_com","A2000","A2001","A2002","A2003","A2004","A2005","A2006","A2007","A2008","A2009","A2010","A2011","A2012","A2013","A2014","A2015","A2016","A2017","A2018","A2019","A2020","A2021","A2022","A2023"
"32","Quinta de Tilcoco",27,60,57,60,73,70,72,33,67,60,47,64,49,49,60,46,50,67,40,45,31,14,40,63
"17","Codegua",47,68,63,69,79,74,74,42,62,57,51,43,49,54,60,29,66,73,39,28,32,2,43,68
"23","Placilla",30,66,48,48,57,57,66,23,59,62,47,67,48,57,71,47,65,62,32,43,34,23,57,68
"22","Nancagua",18,62,52,54,65,53,63,27,63,62,53,57,51,52,65,53,59,64,36,50,40,16,61,69
"28","Palmilla",25,78,51,58,77,52,57,31,57,64,52,56,48,52,72,41,59,63,32,52,38,12,62,71
"18","Mostazal",51,70,65,70,83,69,74,42,66,60,53,54,57,64,68,33,77,82,47,30,35,0,54,72
"21","Chimbarongo",34,53,44,33,63,47,60,14,52,59,41,68,41,47,70,51,59,61,28,46,44,39,58,72
"31","San Vicente",38,73,66,68,77,69,79,41,70,68,54,66,52,60,75,49,73,71,45,47,25,14,54,72
"13","Machalí",51,63,66,71,81,74,75,32,63,68,49,48,62,72,67,45,84,80,58,34,25,17,39,73
"27","San Fernando",38,65,54,58,67,65,71,22,54,62,41,65,41,53,65,47,70,63,36,41,29,30,53,73
"33","Rengo",34,64,54,59,73,68,72,32,58,58,43,63,49,53,62,47,60,66,34,36,34,3,52,73
"2","Pichidegua",38,81,65,69,83,68,68,39,68,64,50,59,52,60,78,47,64,71,45,52,37,12,64,74
"6","Olivar",30,60,48,54,67,63,64,30,59,56,45,47,45,44,47,39,52,69,26,21,42,6,45,75
"8","Coltauco",40,66,61,61,74,75,74,37,57,61,46,59,51,59,65,50,76,70,53,46,31,25,47,75
"1","Peumo",40,59,62,63,70,77,72,47,64,66,52,58,55,60,68,50,70,68,50,44,25,23,45,76
"26","Pumanque",3,76,61,60,78,69,64,25,69,55,54,55,64,69,91,51,84,79,37,57,35,42,59,76
"24","Santa Cruz",20,73,56,53,73,57,61,29,61,64,48,55,55,57,76,41,72,66,35,54,32,16,64,77
"29","Malloa",28,72,57,67,84,69,76,34,72,73,45,73,53,65,74,49,77,80,40,42,29,11,54,77
"30","Peralillo",23,73,57,55,75,66,60,30,63,55,46,56,57,59,85,43,67,64,34,51,36,15,64,77
"4","Coinco",45,84,77,81,85,87,85,52,82,72,60,70,70,76,72,60,76,92,54,42,47,0,53,78
"12","Las Cabras",39,79,64,71,81,84,73,42,72,58,54,60,65,70,77,39,85,78,54,47,28,10,53,78
"9","Doñihue",48,76,74,74,83,83,79,49,70,72,57,68,59,71,75,60,78,86,55,38,42,0,57,79
"3","Marchihue",14,76,55,56,76,73,60,33,70,46,49,47,68,72,91,36,75,75,37,62,43,26,66,81
"5","Requínoa",34,65,54,64,74,71,74,35,60,60,48,55,51,51,59,42,61,72,34,26,40,0,45,81
"10","La Estrella",21,84,63,62,85,78,64,34,70,41,44,55,66,73,84,34,80,80,44,56,44,10,65,81
"15","Litueche",14,79,58,57,79,76,69,35,66,46,50,58,60,68,87,34,81,79,39,56,40,32,63,81
"20","Lolol",14,75,63,60,75,69,67,29,64,61,51,52,58,65,86,56,79,74,39,51,32,47,59,81
"14","Graneros",26,48,44,50,66,60,63,30,49,49,43,32,42,46,49,30,45,60,25,23,40,6,46,84
"25","Paredones",1,56,48,56,69,70,67,46,65,59,59,62,65,62,83,70,81,76,57,63,44,59,61,85
"7","Pichilemu",0,57,48,52,62,64,63,43,64,58,61,64,65,64,84,71,82,82,67,71,54,64,67,86
"19","Chépica",15,71,57,55,74,55,68,24,62,69,46,58,57,63,80,54,77,72,41,54,33,19,68,86
"11","Rancagua",29,57,51,60,69,62,66,30,57,51,44,40,44,50,56,37,59,71,34,20,38,5,47,87
"16","Navidad",0,64,50,47,63,72,66,32,71,45,53,48,59,56,91,37,79,89,48,52,42,49,71,90
