comuna,VCI
Santo Domingo,75.0
San Antonio,74.0
Cartagena,68.0
El Tabo,68.0
El Quisco,70.0
Algarrobo,64.0
Casablanca,60.0
Villa Alemana,47.0
Quilpué,56.0
Olmué,71.0
Viña del Mar,43.0
Limache,54.0
Concón,67.0
Quillota,62.0
Calle Larga,43.0
Llaillay,49.0
La Cruz,68.0
Rinconada,32.0
Quintero,56.0
Calera,60.0
Hijuelas,68.0
Panquehue,56.0
Los Andes,64.0
San Felipe,38.0
Puchuncaví,79.0
Catemu,34.0
Nogales,66.0
Santa María,38.0
Zapallar,66.0
San Esteban,57.0
Papudo,45.0
Putaendo,29.0
Cabildo,23.0
La Ligua,42.0
Petorca,12.0
Valparaíso,65.0
